Product Name,Shade Code,R,G,B
Double Defence Exterior Emulsion,1-10-1,240,233,207
Double Defence Exterior Emulsion,1-10-2,247,229,174
Double Defence Exterior Emulsion,1-10-3,252,221,149
Double Defence Exterior Emulsion,1-10-4,254,213,129
Double Defence Exterior Emulsion,1-10-6,249,188,62
Double Defence Exterior Emulsion,1-10-7,244,172,41
Double Defence Exterior Emulsion,1-1-1,248,226,222
Double Defence Exterior Emulsion,1-11-1,240,234,207
Double Defence Exterior Emulsion,1-11-2,247,233,180
Double Defence Exterior Emulsion,1-11-3,251,224,145
Double Defence Exterior Emulsion,1-11-4,252,214,104
Double Defence Exterior Emulsion,1-11-5,252,209,103
Double Defence Exterior Emulsion,1-11-6,253,192,64
Double Defence Exterior Emulsion,1-11-7,245,174,27
Double Defence Exterior Emulsion,1-1-2,246,208,204
Double Defence Exterior Emulsion,1-12-1,240,237,208
Double Defence Exterior Emulsion,1-12-2,249,235,179
Double Defence Exterior Emulsion,1-12-3,253,231,151
Double Defence Exterior Emulsion,1-12-4,253,221,117
Double Defence Exterior Emulsion,1-12-5,245,215,109
Double Defence Exterior Emulsion,1-12-6,252,209,33
Double Defence Exterior Emulsion,1-12-7,249,190,1
Double Defence Exterior Emulsion,1-1-3,250,183,175
Double Defence Exterior Emulsion,1-1-4,249,153,148
Double Defence Exterior Emulsion,1-1-5,247,131,123
Double Defence Exterior Emulsion,1-15-1,235,234,214
Double Defence Exterior Emulsion,1-15-2,236,238,190
Double Defence Exterior Emulsion,1-15-3,245,240,176
Double Defence Exterior Emulsion,1-15-4,240,233,157
Double Defence Exterior Emulsion,1-15-5,234,229,115
Double Defence Exterior Emulsion,1-15-6,242,218,81
Double Defence Exterior Emulsion,1-15-7,229,204,75
Double Defence Exterior Emulsion,1-16-1,237,240,213
Double Defence Exterior Emulsion,1-16-2,230,239,205
Double Defence Exterior Emulsion,1-16-3,230,237,184
Double Defence Exterior Emulsion,1-16-4,231,235,155
Double Defence Exterior Emulsion,1-16-5,220,224,111
Double Defence Exterior Emulsion,1-16-6,204,207,56
Double Defence Exterior Emulsion,1-16-7,190,196,34
Double Defence Exterior Emulsion,1-1-7,208,75,78
Double Defence Exterior Emulsion,1-17-1,238,240,226
Double Defence Exterior Emulsion,1-17-2,236,240,209
Double Defence Exterior Emulsion,1-17-3,223,237,190
Double Defence Exterior Emulsion,1-17-4,209,230,157
Double Defence Exterior Emulsion,1-17-5,192,217,116
Double Defence Exterior Emulsion,1-17-6,172,204,73
Double Defence Exterior Emulsion,1-17-7,152,184,50
Double Defence Exterior Emulsion,1-19-1,218,235,207
Double Defence Exterior Emulsion,1-19-2,208,227,191
Double Defence Exterior Emulsion,1-19-3,197,228,175
Double Defence Exterior Emulsion,1-19-4,188,223,151
Double Defence Exterior Emulsion,1-19-5,148,203,104
Double Defence Exterior Emulsion,1-19-6,135,193,75
Double Defence Exterior Emulsion,1-19-7,116,177,54
Double Defence Exterior Emulsion,1-21-1,214,236,208
Double Defence Exterior Emulsion,1-21-2,205,228,195
Double Defence Exterior Emulsion,1-21-3,196,230,182
Double Defence Exterior Emulsion,1-21-4,177,220,154
Double Defence Exterior Emulsion,1-21-5,137,203,113
Double Defence Exterior Emulsion,1-21-6,112,186,79
Double Defence Exterior Emulsion,1-21-7,100,169,64
Double Defence Exterior Emulsion,1-24-1,223,232,220
Double Defence Exterior Emulsion,1-24-2,206,236,216
Double Defence Exterior Emulsion,1-24-3,177,225,184
Double Defence Exterior Emulsion,1-24-4,138,207,156
Double Defence Exterior Emulsion,1-24-5,93,190,130
Double Defence Exterior Emulsion,1-24-6,67,177,111
Double Defence Exterior Emulsion,1-24-7,37,159,94
Double Defence Exterior Emulsion,1-26-1,227,240,232
Double Defence Exterior Emulsion,1-26-2,198,233,221
Double Defence Exterior Emulsion,1-26-3,164,226,208
Double Defence Exterior Emulsion,1-26-4,114,205,185
Double Defence Exterior Emulsion,1-26-5,70,189,163
Double Defence Exterior Emulsion,1-26-6,0,172,147
Double Defence Exterior Emulsion,1-26-7,0,159,133
Double Defence Exterior Emulsion,1-28-1,226,232,230
Double Defence Exterior Emulsion,1-28-2,198,230,231
Double Defence Exterior Emulsion,1-28-3,156,223,220
Double Defence Exterior Emulsion,1-28-4,119,208,208
Double Defence Exterior Emulsion,1-28-5,39,183,186
Double Defence Exterior Emulsion,1-28-6,0,167,171
Double Defence Exterior Emulsion,1-28-7,0,148,151
Double Defence Exterior Emulsion,1-30-1,224,238,234
Double Defence Exterior Emulsion,1-30-2,194,225,225
Double Defence Exterior Emulsion,1-30-3,158,219,228
Double Defence Exterior Emulsion,1-30-4,108,201,214
Double Defence Exterior Emulsion,1-30-5,80,189,208
Double Defence Exterior Emulsion,1-30-6,30,161,178
Double Defence Exterior Emulsion,1-30-7,0,146,171
Double Defence Exterior Emulsion,1-3-1,244,231,224
Double Defence Exterior Emulsion,1-3-2,246,207,202
Double Defence Exterior Emulsion,1-32-1,218,235,234
Double Defence Exterior Emulsion,1-32-2,195,224,230
Double Defence Exterior Emulsion,1-32-3,156,211,229
Double Defence Exterior Emulsion,1-32-4,116,194,221
Double Defence Exterior Emulsion,1-32-5,51,165,203
Double Defence Exterior Emulsion,1-32-6,0,151,192
Double Defence Exterior Emulsion,1-32-7,0,133,169
Double Defence Exterior Emulsion,1-3-3,252,183,166
Double Defence Exterior Emulsion,1-33-1,217,233,234
Double Defence Exterior Emulsion,1-33-2,186,219,229
Double Defence Exterior Emulsion,1-33-3,158,210,234
Double Defence Exterior Emulsion,1-33-4,133,198,226
Double Defence Exterior Emulsion,1-33-5,72,174,213
Double Defence Exterior Emulsion,1-33-6,0,146,199
Double Defence Exterior Emulsion,1-33-7,0,126,177
Double Defence Exterior Emulsion,1-3-4,250,159,137
Double Defence Exterior Emulsion,1-34-1,215,231,234
Double Defence Exterior Emulsion,1-34-2,191,216,229
Double Defence Exterior Emulsion,1-34-3,162,203,229
Double Defence Exterior Emulsion,1-34-4,116,179,219
Double Defence Exterior Emulsion,1-34-5,69,151,205
Double Defence Exterior Emulsion,1-34-6,40,138,198
Double Defence Exterior Emulsion,1-34-7,0,114,173
Double Defence Exterior Emulsion,1-3-5,244,142,114
Double Defence Exterior Emulsion,1-36-1,224,231,233
Double Defence Exterior Emulsion,1-36-2,198,213,226
Double Defence Exterior Emulsion,1-36-3,166,192,226
Double Defence Exterior Emulsion,1-36-4,135,162,209
Double Defence Exterior Emulsion,1-36-5,97,136,194
Double Defence Exterior Emulsion,1-36-6,80,114,181
Double Defence Exterior Emulsion,1-36-7,57,94,160
Double Defence Exterior Emulsion,1-38-1,210,216,229
Double Defence Exterior Emulsion,1-38-2,202,211,232
Double Defence Exterior Emulsion,1-38-3,173,184,221
Double Defence Exterior Emulsion,1-38-4,147,156,209
Double Defence Exterior Emulsion,1-38-5,122,126,192
Double Defence Exterior Emulsion,1-38-6,110,111,177
Double Defence Exterior Emulsion,1-38-7,86,88,154
Double Defence Exterior Emulsion,1-40-1,224,223,234
Double Defence Exterior Emulsion,1-40-2,204,201,228
Double Defence Exterior Emulsion,1-40-3,190,185,219
Double Defence Exterior Emulsion,1-40-4,170,158,209
Double Defence Exterior Emulsion,1-40-5,142,125,190
Double Defence Exterior Emulsion,1-40-6,127,102,171
Double Defence Exterior Emulsion,1-40-7,118,95,162
Double Defence Exterior Emulsion,1-42-1,229,220,227
Double Defence Exterior Emulsion,1-42-2,220,210,227
Double Defence Exterior Emulsion,1-42-3,213,187,223
Double Defence Exterior Emulsion,1-42-4,188,157,206
Double Defence Exterior Emulsion,1-42-5,165,128,186
Double Defence Exterior Emulsion,1-42-6,154,111,170
Double Defence Exterior Emulsion,1-42-7,136,91,149
Double Defence Exterior Emulsion,1-43-1,234,227,230
Double Defence Exterior Emulsion,1-43-2,223,212,229
Double Defence Exterior Emulsion,1-43-3,212,184,216
Double Defence Exterior Emulsion,1-43-4,198,159,206
Double Defence Exterior Emulsion,1-43-5,180,129,186
Double Defence Exterior Emulsion,1-43-6,172,112,174
Double Defence Exterior Emulsion,1-43-7,158,96,158
Double Defence Exterior Emulsion,1-45-1,245,239,237
Double Defence Exterior Emulsion,1-45-2,238,221,230
Double Defence Exterior Emulsion,1-45-3,231,197,221
Double Defence Exterior Emulsion,1-45-4,231,172,210
Double Defence Exterior Emulsion,1-45-5,223,141,190
Double Defence Exterior Emulsion,1-45-6,203,106,165
Double Defence Exterior Emulsion,1-45-7,191,79,139
Double Defence Exterior Emulsion,1-47-1,236,226,227
Double Defence Exterior Emulsion,1-47-2,245,230,231
Double Defence Exterior Emulsion,1-47-3,242,199,216
Double Defence Exterior Emulsion,1-47-4,236,168,199
Double Defence Exterior Emulsion,1-47-5,217,122,163
Double Defence Exterior Emulsion,1-47-6,201,101,146
Double Defence Exterior Emulsion,1-47-7,180,73,119
Double Defence Exterior Emulsion,1-48-1,242,233,232
Double Defence Exterior Emulsion,1-48-2,238,225,225
Double Defence Exterior Emulsion,1-48-3,240,181,197
Double Defence Exterior Emulsion,1-48-4,233,161,184
Double Defence Exterior Emulsion,1-48-5,221,124,157
Double Defence Exterior Emulsion,1-48-6,212,102,138
Double Defence Exterior Emulsion,1-48-7,194,77,113
Double Defence Exterior Emulsion,1-50-1,242,231,233
Double Defence Exterior Emulsion,1-50-2,247,213,216
Double Defence Exterior Emulsion,1-50-3,248,187,191
Double Defence Exterior Emulsion,1-50-4,238,155,161
Double Defence Exterior Emulsion,1-50-5,237,128,143
Double Defence Exterior Emulsion,1-50-7,208,93,111
Double Defence Exterior Emulsion,1-5-1,241,233,225
Double Defence Exterior Emulsion,1-5-2,248,215,197
Double Defence Exterior Emulsion,1-5-3,250,203,182
Double Defence Exterior Emulsion,1-5-4,251,186,160
Double Defence Exterior Emulsion,1-5-5,251,168,129
Double Defence Exterior Emulsion,1-7-1,246,234,217
Double Defence Exterior Emulsion,1-7-2,243,219,195
Double Defence Exterior Emulsion,1-7-3,253,206,172
Double Defence Exterior Emulsion,1-7-4,254,192,149
Double Defence Exterior Emulsion,1-7-5,254,175,109
Double Defence Exterior Emulsion,1-7-6,249,146,58
Double Defence Exterior Emulsion,1-7-7,238,129,44
Double Defence Exterior Emulsion,1-8-1,245,231,212
Double Defence Exterior Emulsion,1-8-2,247,228,198
Double Defence Exterior Emulsion,1-8-3,251,216,169
Double Defence Exterior Emulsion,1-8-4,252,201,145
Double Defence Exterior Emulsion,1-8-5,252,185,113
Double Defence Exterior Emulsion,1-8-6,252,166,67
Double Defence Exterior Emulsion,1-8-7,240,149,43
Double Defence Exterior Emulsion,2-15-1,245,241,216
Double Defence Exterior Emulsion,2-15-2,237,236,200
Double Defence Exterior Emulsion,2-15-3,241,232,176
Double Defence Exterior Emulsion,2-15-4,234,228,159
Double Defence Exterior Emulsion,2-15-5,221,209,120
Double Defence Exterior Emulsion,2-15-6,208,192,85
Double Defence Exterior Emulsion,2-15-7,201,169,40
Double Defence Exterior Emulsion,2-18-1,228,236,212
Double Defence Exterior Emulsion,2-18-2,223,237,203
Double Defence Exterior Emulsion,2-18-3,214,229,193
Double Defence Exterior Emulsion,2-18-4,189,220,164
Double Defence Exterior Emulsion,2-18-5,165,201,112
Double Defence Exterior Emulsion,2-18-6,138,174,74
Double Defence Exterior Emulsion,2-18-7,123,159,51
Double Defence Exterior Emulsion,2-20-1,231,240,205
Double Defence Exterior Emulsion,2-20-2,211,229,192
Double Defence Exterior Emulsion,2-20-3,193,224,182
Double Defence Exterior Emulsion,2-20-4,149,198,120
Double Defence Exterior Emulsion,2-20-5,133,184,106
Double Defence Exterior Emulsion,2-20-6,117,171,83
Double Defence Exterior Emulsion,2-20-7,89,150,55
Double Defence Exterior Emulsion,2-2-1,250,237,231
Double Defence Exterior Emulsion,2-21-1,225,236,209
